timestamp,ph,bod,dissolved_oxygen,fecal_coliform,temperature,tds,turbidity,total_coliform,wqi,classification,cpcb_class,mpcb_class,status
2024-11-13 13:08:58.934150,10.0,40.267045400176144,1.5822292629900294,62858.65214395216,35.0,2210.239607449774,82.68130709242227,416339.4327820749,12.363232816950893,Bad to Very Bad,E,A-IV,Heavily Polluted
2024-11-14 06:40:10.934150,9.0,8.263207695351754,3.668775605258966,564.2709083579454,35.0,1093.2484189406853,17.49487654498928,1934.1630703941987,46.94303802920098,Bad,C,A-II,Polluted
2024-11-15 00:11:22.934150,9.0,8.085819833405747,3.941863460185776,8142.910835986594,34.7465322402344,897.892703848214,26.86939100031169,91231.97153187833,45.64973001713045,Bad,C,A-II,Polluted
2024-11-15 17:42:34.934150,8.5,4.144937629939169,8.027646615698979,92.77598770872797,29.449188138438263,376.8786091591166,5.853716995145657,716.0329107806559,54.82877270305496,Medium to Good,B,Not Prescribed,Non Polluted
2024-11-16 11:13:46.934150,8.5,3.7640717131157984,8.232242285743462,70.08188170128238,20.25034185133774,618.7569812072836,11.274848319514994,626.8691432768397,66.94425351101616,Good to Excellent,A,A-I,Non Polluted
2024-11-17 04:44:58.934150,10.0,28.09713323635588,2.0836640154021073,14905.97013242928,34.05179651439382,1666.0028693313836,91.28653486311515,58133.72056655456,18.21362241814131,Bad to Very Bad,E,A-IV,Heavily Polluted
2024-11-17 22:16:10.934150,9.5,19.68412203195154,3.2390618894200425,8262.95187880079,28.815713434284792,1705.837580880081,38.70108289000754,15036.90727428075,30.115433767254398,Bad to Very Bad,D,A-III,Heavily Polluted
2024-11-18 15:47:22.934150,9.5,10.392015936850092,3.2330411363464098,282294.36417478026,34.13802444781254,1650.7618881766539,56.28485537343926,2650484.67567407,31.56250040748148,Bad to Very Bad,D,A-III,Heavily Polluted
2024-11-19 09:18:34.934150,9.5,11.774621834469876,2.7715905167409822,31004.599813022945,35.0,1772.0104281353708,37.442057347390495,123733.52986758642,29.8449278954337,Bad to Very Bad,D,A-III,Heavily Polluted
2024-11-20 02:49:46.934150,10.0,33.47286557053589,1.6835153732271093,66798.48682427089,27.159074629017354,2607.6469935398372,80.7098224675482,847834.5741284625,11.816364900259867,Bad to Very Bad,E,A-IV,Heavily Polluted
2024-11-20 20:20:58.934150,9.60623011160514,21.438910988784034,1.1017395729177546,11260.748603420754,35.0,1861.1403721430413,108.31217674378755,141211.29969747877,16.6188700484298,Bad to Very Bad,E,A-IV,Heavily Polluted
2024-11-21 13:52:10.934150,8.5,3.7319971346891405,7.030995215087744,20.004873523235453,31.804347262889557,365.5143993210494,10.255248590988177,159.2575258854005,70.21260713727266,Good to Excellent,A,A-I,Non Polluted
