timestamp,ph,bod,dissolved_oxygen,fecal_coliform,temperature,tds,turbidity,total_coliform,wqi,classification,cpcb_class,mpcb_class,status,season
2024-11-13 13:09:01.589701,8.414165903192176,5.0851500225569755,4.266200644854234,651.6023816708923,19.614322302913155,724.3599859779384,14.82092115053275,3239.1304607903853,51.80485367212873,Medium to Good,B,Not Prescribed,Non Polluted,winter
2024-11-14 18:21:01.589701,7.729708885099378,2.5924934319069126,9.324512620488251,34.241468597524644,10.599099073497985,320.89033612293497,3.247138482166846,201.40192786008,76.14717475107678,Good to Excellent,A,A-I,Non Polluted,winter
2024-11-15 23:33:01.589701,6.41088165732097,18.13022472713896,1.4061150421653648,610435.5904107806,15.305820141936454,1603.1012457866466,78.69964865435888,2460116.7601413284,23.765434435770743,Bad to Very Bad,E,A-IV,Heavily Polluted,winter
2024-11-17 04:45:01.589701,7.8333384255164225,1.9647022740835314,9.498811561907058,2.067309831045763,21.65897866278387,225.91965713033335,2.04349971032598,8.698192511522864,74.4107718503609,Good to Excellent,A,A-I,Non Polluted,winter
2024-11-18 09:57:01.589701,7.328723081949178,2.836889531504301,8.398755728553116,39.53565410034654,16.78402005331143,344.6084597444966,5.364823290030502,250.69821131350415,78.46313988429961,Good to Excellent,A,A-I,Non Polluted,winter
2024-11-19 15:09:01.589701,7.257109840406365,1.5769151485045305,8.623601512666678,1.9618732972741124,16.04699179498651,104.37877671863835,2.7936009425594577,11.195696336694118,89.86961400614139,Good to Excellent,A,A-I,Non Polluted,winter
2024-11-20 20:21:01.589701,7.911894179426309,11.581106938309217,2.3870986014692326,47192.816539772975,19.714821166388464,1240.0299520119463,33.686756532049465,224858.9486633001,31.70602247449152,Bad to Very Bad,D,A-III,Heavily Polluted,winter
2024-11-22 01:33:01.589701,7.564268773542035,2.7107989974473123,7.065072800232212,122.2039264969163,14.536062765610929,208.40869312875373,4.553285161131806,751.4515355093794,77.48997402352853,Good to Excellent,A,A-I,Non Polluted,winter
2024-11-23 06:45:01.589701,7.588176472044904,2.4866564439131995,6.464285916355339,57.19478923521503,17.863922743544684,279.9374979957796,5.6950326343522395,340.47530568858235,79.83725078085823,Good to Excellent,A,A-I,Non Polluted,winter
2024-11-24 11:57:01.589701,7.8707390322570046,2.989977347466191,5.7217535478360055,50.58335922788592,20.56635615598685,227.42540671348354,6.531967533444397,198.2644985264996,74.95968062653733,Good to Excellent,A,A-I,Non Polluted,winter
